Aeródromo;;;;;Geoespacial;;;Operação;Internacionalização;;Pista 1;;;;;Pista 2;;;;;Pista 3;;;;;Heliponto;;;;;;;;;Atos normativos;;;;Classe RBAC 107;Classe RBAC 153;Categoria Tarifária;Especificação Operativa;;;;;;;Medidas Administrativas (DOU);;;Outros;
SSEZ;RS0050;ESPUMOSO;ESPUMOSO;RS;28° 44' 17'' S;52° 51' 20'' W;390 m;VFR Diurno;-;-; 08/26;720 m;18 m;2000 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2869;-;-;-;PA2015-2869;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSFB;PR0021;PAULO ABDALA;FRANCISCO BELTRÃO;PR;26° 3' 32'' S;53° 3' 48'' W;644 m;VFR Diurno/Noturno;-;-; 07/25;1390 m;30 m;PCN 11/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2357;-;-;-;PA2018-2357;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSCR;PR0016;BALDUINO HELMUTH JOPE;MARECHAL CÂNDIDO RONDON;PR;24° 30' 46'' S;54° 3' 17'' W;421 m;VFR Diurno;-;-; 01/19;1400 m;30 m;PCN 10/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2024-13.523;-;-;-;PA2024-13.523;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;Portaria n° 14.507/2024 torna pública a revogação da medida cautelar de proibição de operações de pouso, aplicada por meio da Decisão sobre Medida Cautelar nº 1/2023/GFIC/SIA, de 19 de janeiro de 2023, ao aeródromo público Balduíno Helmuth Jope, CIAD PR0016, código OACI SSCR, localizado em Marechal Cândido Randon/PR.
SSGA;RS0020;GARIBALDI;GARIBALDI;RS;29° 16' 6'' S;51° 31' 56'' W;680 m;VFR Diurno;-;-; 15/33;1200 m;30 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1563;-;-;-;PA2020-1563;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSGB;PR0035;MUNICIPAL DE GUARATUBA;GUARATUBA;PR;25° 52' 50'' S;48° 36' 44'' W;15 m;VFR Diurno;-;-; 02/20;1000 m;18 m;2500 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3250;-;-;-;PA2020-3250;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSGW;PR0037;MANOEL RIBAS;GOIOERÊ;PR;24° 13' 11'' S;53° 2' 38'' W;491 m;VFR Diurno;-;-; 05/23;999 m;18 m;PCN 8/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-1478;-;-;-;PA2019-1478;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSGY;PR0023;GUAÍRA;GUAÍRA;PR;24° 4' 47'' S;54° 11' 17'' W;271 m;VFR Diurno;-;-; 08/26;1300 m;30 m;PCN 24/F/D/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7099;-;-;-;PA2022-7099;-;-;-;AP-1;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSHZ;RS0037;WALTER BÜNDCHEN;HORIZONTINA;RS;27° 38' 18'' S;54° 20' 20'' W;310 m;VFR Diurno;-;-; 16/34;1050 m;18 m;PCN 6/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-1419;-;-;-;PA2019-1419;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSIE;MS0002;TERUEL IPANEMA ESTÂNCIA;CAMPO GRANDE;MS;20° 36' 14'' S;54° 35' 43'' W;528 m;VFR Diurno;-;-; 06/24;1500 m;20 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1075;-;-;-;PA2020-1075;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSIJ;RS0032;IJUÍ;IJUÍ;RS;28° 22' 7'' S;53° 50' 47'' W;365 m;VFR Diurno/Noturno;-;-; 18/36;1280 m;23 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1835;-;-;-;PA2020-1835;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSIR;RS0049;IBIRUBÁ;IBIRUBÁ;RS;28° 36' 15'' S;53° 4' 43'' W;457 m;VFR Diurno;-;-; 11/29;900 m;18 m;5000 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2016-2358;-;-;-;PA2016-2358;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSJA;SC0014;SANTA TEREZINHA;JOAÇABA;SC;27° 10' 17'' S;51° 33' 12'' W;782 m;VFR Diurno/Noturno;-;-; 15/33;1215 m;30 m;#REF!;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.300;-;-;-;PA2023-12.300;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSJI;MS0019;JARDIM;JARDIM;MS;21° 29' 34'' S;56° 9' 9'' W;321 m;VFR Diurno;-;-; 18/36;950 m;15 m;PCN 8/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-8719;-;-;-;PA2022-8719;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSIQ;RS0045;ITAQUI;ITAQUI;RS;29° 10' 19'' S;56° 32' 18'' W;84 m;VFR Diurno;-;-; 15/33;966 m;23 m;1800 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1288;-;-;-;PA2020-1288;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2019-3520;PA2019-3520;;-
SSKG;MS0003;ESTÂNCIA SANTA MARIA;CAMPO GRANDE;MS;20° 30' 20'' S;54° 31' 29'' W;618 m;VFR Diurno/Noturno;-;-; 06/24;1500 m;30 m;PCN 17/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1390;-;-;-;PA2020-1390;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSKK;RS0052;CAPÃO DA CANOA;CAPÃO DA CANOA;RS;29° 45' 49'' S;50° 2' 13'' W;10 m;VFR Diurno;-;-; 08/26;700 m;27 m;2500 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;26  10;quadrado;20 m x20 m;4 t;Asfalto;PA2020-0979;-;-;-;PA2020-0979;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;Proibidas operações de pouso na RWY 08
SSKM;PR0017;CAMPO MOURÃO;CAMPO MOURÃO;PR;24° 0' 9'' S;52° 21' 25'' W;574 m;VFR Diurno/Noturno;-;-; 02/20;1370 m;30 m;PCN 14/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0578;-;-;-;PA2020-0578;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSKS;RS0039;BRIGADEIRO NERO MOURA;CACHOEIRA DO SUL;RS;30° 0' 8'' S;52° 56' 25'' W;77 m;VFR Diurno;-;-; 12/30;1020 m;18 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3744;-;-;-;PA2020-3744;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSKU;SC0016;LAURO ANTÔNIO DA COSTA;CURITIBANOS;SC;27° 17' 14'' S;50° 36' 14'' W;978 m;VFR Diurno/Noturno;-;-; 11/29;1400 m;30 m;PCN 22/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1296;-;-;-;PA2020-1296;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSKW;RO0004;CACOAL;CACOAL;RO;11° 29' 44'' S;61° 27' 3'' W;249 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 17/35;2100 m;45 m;PCN 31/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1567;-;-;-;PA2020-1567;-;-;-;AP-1;Classe I;3ª;3C;NPA;0;PA2023-10.658;-;PA2023-10.658;-;-;-;-;X;-
SSKZ;RS0009;CARAZINHO;CARAZINHO;RS;28° 19' 18'' S;52° 49' 0'' W;590 m;VFR Diurno/Noturno;-;-; 11/29;1560 m;30 m;PCN 12/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-6995;-;-;-;PA2022-6995;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSLG;RS0021;SÃO LUIZ GONZAGA;SÃO LUIZ GONZAGA;RS;28° 22' 35'' S;55° 2' 15'' W;200 m;VFR Diurno;-;-; 06/24;1200 m;60 m;PCN 8/F/C/Y/U;Saibro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4950;-;-;-;PA2021-4950;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSLN;SC0018;HELMUTH BAUNGARTEM;LONTRAS;SC;27° 9' 35'' S;49° 32' 34'' W;334 m;VFR Diurno/Noturno;-;-; 07/25;1077 m;23 m;PCN 10/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1081;-;-;-;PA2020-1081;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSJK;RS0028;JÚLIO DE CASTILHOS;JÚLIO DE CASTILHOS;RS;29° 9' 11'' S;53° 44' 36'' W;498 m;VFR Diurno;-;-; 12/30;1190 m;30 m;PCN 8/F/C/Y/U;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1301;-;-;-;PA2020-1301;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2020-1520;PA2020-1520;;-
SSLT;RS0022;GAUDÊNCIO MACHADO RAMOS;ALEGRETE;RS;29° 48' 45'' S;55° 53' 36'' W;125 m;VFR Diurno;-;-; 15/33;1200 m;18 m;PCN 6/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2417;-;-;-;PA2020-2417;-;-;-;AP-1;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSMJ;MS0020;MARACAJU;MARACAJU;MS;21° 38' 2'' S;55° 8' 42'' W;390 m;VFR Diurno;-;-; 01/19;800 m;30 m;5600 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1196;-;-;-;PA2020-1196;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSMR;PR0026;MANOEL RIBAS;MANOEL RIBAS;PR;24° 31' 46'' S;51° 39' 6'' W;886 m;VFR Diurno;-;-; 17/35;1200 m;30 m;PCN 12/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1810;-;-;-;PA2017-1810;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSLO;PR0031;ATTILLIO ACCORSI;LOANDA;PR;22° 55' 4'' S;53° 8' 59'' W;470 m;VFR Diurno;-;-; 05/23;1100 m;23 m;PCN 14/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1980-0013;-;-;-;PD1980-0013;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;Interditado;PA2015-2631;PA2015-2631;;-
SSNB;MS0015;ARIOSTO DA RIVA;NAVIRAÍ;MS;23° 2' 3'' S;54° 10' 40'' W;406 m;VFR Diurno;-;-; 10/28;1398 m;23 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4772;-;-;-;PA2021-4772;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSNG;RS0046;HELIO ALVES DE OLIVEIRA;MONTENEGRO;RS;29° 43' 11'' S;51° 29' 20'' W;24 m;VFR Diurno;-;-; 13/31;932 m;23 m;5700 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;13  31;quadrado;18 m x18 m;3 t;Grama;PA2023-11.955;-;-;-;PA2023-11.955;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSNH;RS0023;NOVO HAMBURGO;NOVO HAMBURGO;RS;29° 41' 57'' S;51° 4' 55'' W;15 m;VFR Diurno;-;-; 02/20;870 m;30 m;5700 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1592;-;-;-;PA2020-1592;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSNP;RS0041;ILMO ALOÍSIO BLUME;NOVA PRATA;RS;28° 48' 14'' S;51° 36' 8'' W;698 m;VFR Diurno;-;-; 13/31;965 m;18 m;PCN 8/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.127;-;-;-;PA2023-12.127;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSMT;RS0044;MOSTARDAS;MOSTARDAS;RS;31° 6' 4'' S;50° 54' 29'' W;18 m;VFR Diurno;-;-; 05/23;975 m;18 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.539;-;-;-;PA2023-11.539;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2019-2366;PA2019-2366;;-
SSOE;SC0015;HÉLIO WASUM;SÃO MIGUEL DO OESTE;SC;26° 46' 52'' S;53° 30' 12'' W;665 m;VFR Diurno/Noturno;-;-; 17/35;1260 m;18 m;PCN 11/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1292;-;-;-;PA2020-1292;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSNQ;MS0016;NIOAQUE;NIOAQUE;MS;21° 11' 4'' S;55° 49' 52'' W;202 m;VFR Diurno;-;-; 18/36;1200 m;18 m;5600 kg / 0,5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.664;-;-;-;PA2023-10.664;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;Interditado;PA2019-3450;PA2019-3450;;-
SSOI;SP0043;PEDERNEIRAS;PEDERNEIRAS;SP;22° 18' 26'' S;48° 46' 23'' W;536 m;VFR Diurno;-;-; 16/34;1165 m;20 m;PCN 7/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5709;-;-;-;PA2021-5709;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSOL;MG0027;PADRE ISRAEL (ISRAEL BATISTA DE CARVALHO);LAVRAS;MG;21° 14' 26'' S;44° 57' 51'' W;959 m;VFR Diurno/Noturno;-;-; 05/23;1500 m;30 m;PCN 12/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5271;-;-;-;PA2021-5271;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSOS;RS0042;OSÓRIO;OSÓRIO;RS;29° 54' 8'' S;50° 14' 57'' W;17 m;VFR Diurno;-;-; 11/29;950 m;25 m;5700 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1195;-;-;-;PA2020-1195;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SBPO;PR0018;AEROPORTO REGIONAL DE PATO BRANCO - PROFESSOR JUVENAL LOUREIRO CARDOSO;PATO BRANCO;PR;26° 13' 2'' S;52° 41' 40'' W;823 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;1621 m;30 m;PCN 50/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6224;-;-;-;PA2021-6224;-;-;-;AP-1;Classe I;4ª;2C;NPA;0;PA2020-0857;PA2023-12.218;PA2020-0857;PA2023-12.218;-;-;-;;-
SSPG;PR0011;SANTOS DUMONT;PARANAGUÁ;PR;25° 32' 25'' S;48° 31' 52'' W;11 m;VFR Diurno;-;-; 06/24;1458 m;30 m;PCN 16/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.206;-;-;-;PA2023-11.206;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSOG;PR0027;ARAPONGAS;ARAPONGAS;PR;23° 21' 10'' S;51° 29' 30'' W;794 m;VFR Diurno/Noturno;-;-; 16/34;1303 m;30 m;PCN 70/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.992;-;-;-;PA2023-11.992;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;Proibição de operações de pouso e decolagem na Pista (RWY) 16, e proibição das operações noturnas no aeródromo;PA2023-11.728;PA2023-11.728;;-
SSPL;RS0043;PALMEIRA DAS MISSÕES;PALMEIRA DAS MISSÕES;RS;27° 54' 6'' S;53° 19' 48'' W;613 m;VFR Diurno;-;-; 05/23;1160 m;18 m;PCN 4/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.880;-;-;-;PA2023-10.880;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSPM;MS0013;PORTO MURTINHO;PORTO MURTINHO;MS;21° 42' 46'' S;57° 52' 45'' W;132 m;VFR Diurno;-;-; 18/36;1600 m;30 m;PCN 15/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.745;-;-;-;PA2023-11.745;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSPI;PR0010;EDU CHAVES;PARANAVAÍ;PR;23° 5' 24'' S;52° 29' 19'' W;474 m;VFR Diurno;-;-; 13/31;1500 m;30 m;PCR 13/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1832;-;-;-;PA2015-1832;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;Portaria n° 11.323/2023 torna pública a revogação de medida cautelar de restrição às operações de pouso de aeronaves.
SSPS;PR0036;DIMORVAN CARRARO;PALMAS;PR;26° 28' 20'' S;51° 58' 32'' W;1100 m;VFR Diurno;-;-; 03/21;1050 m;23 m;PCN 19/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0983;-;-;-;PA2020-0983;-;-;-;AP-0;Classe I;4ª;-;-;0;-;-;-;-;-;-;-;;-
SSPT;PR0028;BRASÍLIO MARQUES;PALOTINA;PR;24° 20' 36'' S;53° 49' 43'' W;373 m;VFR Diurno;-;-; 03/21;1100 m;18 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-3554;-;-;-;PA2019-3554;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSPN;MS0010;PARANAÍBA;PARANAÍBA;MS;19° 39' 4'' S;51° 11' 58'' W;442 m;VFR Diurno;-;-; 14/32;1320 m;23 m;PCR 12/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2850;-;-;-;PA2015-2850;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;Portaria n° 15.896/2024 torna pública a revogação das medidas cautelares de proibição de operações de pouso, exceto por necessidade de emergência médica ou de transporte de valores, que devem ser realizadas mediante prévia coordenação com o Operador de Aeródromo, aplicada por meio da Decisão sobre Medida Cautelar nº 26/2022/GFIC/SIA, de 11 de novembro de 2022, e de proibição de operações de pouso de aeronave civil com motor a reação (turbojato), aplicada por meio da Decisão sobre Medida Cautelar nº 11/2020/GFIC/SIA, de 13 de março de 2020, ao aeródromo Paranaíba, CIAD MS0010, código OACI SSPN, localizado em Paranaíba/MS.
SSQP;BA0061;MONTE SANTO;MONTE SANTO;BA;10° 27' 55'' S;39° 17' 10'' W;442 m;VFR Diurno;-;-; 17/35;1000 m;30 m;5700 kg / 0,5 MPa;Piçarra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2706;-;-;-;PA2015-2706;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSQT;PR0013;CASTRO;CASTRO;PR;24° 48' 27'' S;49° 57' 34'' W;1010 m;VFR Diurno;-;-; 06/24;1400 m;30 m;2500 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.890;-;-;-;PA2023-11.890;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSRE;PR0030;REALEZA;REALEZA;PR;25° 48' 4'' S;53° 30' 47'' W;501 m;VFR Diurno;-;-; 06/24;1200 m;18 m;PCN 6/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-10.822;-;-;-;PA2023-10.822;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSRF;BA0034;CASTRO ALVES;CASTRO ALVES;BA;12° 46' 4'' S;39° 26' 41'' W;261 m;VFR Diurno;-;-; 13/31;1200 m;21 m;PCN 8/F/C/Y/U;Cascalho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.201;-;-;-;PA2023-11.201;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSRG;SP0030;AEROPORTO ESTADUAL DE REGISTRO;REGISTRO;SP;24° 31' 54'' S;47° 50' 25'' W;25 m;VFR Diurno;-;-; 11/29;1500 m;30 m;PCN 30/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9767;-;-;-;PA2022-9767;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSRS;MA0008;BARREIRINHAS;BARREIRINHAS;MA;2° 45' 24'' S;42° 48' 12'' W;12 m;VFR Diurno;-;-; 11/29;1500 m;30 m;PCN 71/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.665;-;-;-;PA2023-11.665;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSRU;RS0034;SÃO LOURENÇO DO SUL;SÃO LOURENÇO DO SUL;RS;31° 23' 5'' S;52° 1' 57'' W;27 m;VFR Diurno;-;-; 03/21;1055 m;18 m;5700 kg / 0,5 MPa;Saibro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2448;-;-;-;PA2020-2448;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSRZ;RS0024;DÁRIO BRASIL CAPOANO DE OLIVEIRA;ROSÁRIO DO SUL;RS;30° 16' 39'' S;54° 55' 31'' W;102 m;VFR Diurno;-;-; 10/28;1000 m;20 m;5700 kg / 0,5 MPa;Saibro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0976;-;-;-;PA2020-0976;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSQC;PR0029;SIQUEIRA CAMPOS;SIQUEIRA CAMPOS;PR;23° 40' 29'' S;49° 48' 56'' W;705 m;VFR Diurno;-;-; 10/28;1200 m;23 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.207;-;-;-;PA2023-11.207;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;Portaria n° 18.292/2025 torna pública a revogação da medida cautelar de proibição de operações de pouso, aplicada por meio da Decisão sobre Medida Cautelar nº 28/2020/GFIC/SIA, de 11 de maio de 2020, ao aeródromo público Siqueira Campos, CIAD PR0029, código OACI SSQC, localizado em Siqueira Campos (PR). Fica revogada a Portaria nº 1264, de 11 de maio de 2020, publicada no Diário Oficial da União de 13 de maio de 2020, Seção 1, página 58.
SSSC;RS0029;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;RS;29° 41' 3'' S;52° 24' 44'' W;199 m;VFR Diurno;-;-; 08/26;1180 m;18 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1024;-;-;-;PA2020-1024;-;-;-;AP-1;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSSD;RS0017;SOLEDADE;SOLEDADE;RS;28° 51' 48'' S;52° 32' 26'' W;673 m;VFR Diurno;-;-; 17/35;1199 m;23 m;5700 kg / 1 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1287;-;-;-;PA2020-1287;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSSG;RS0035;SÃO GABRIEL;SÃO GABRIEL;RS;30° 20' 42'' S;54° 16' 4'' W;145 m;VFR Diurno;-;-; 04/22;1000 m;42 m;PCN 8/F/C/Y/U;Saibro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3957;-;-;-;PA2021-3957;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSSS;SC0022;SÃO FRANCISCO DO SUL;SÃO FRANCISCO DO SUL;SC;26° 13' 16'' S;48° 33' 52'' W;15 m;VFR Diurno;-;-; 18/36;700 m;35 m;2500 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1290;-;-;-;PA2020-1290;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSST;RS0015;SANTIAGO;SANTIAGO;RS;29° 12' 54'' S;54° 50' 30'' W;441 m;VFR Diurno;-;-; 17/35;830 m;23 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-11.895;-;-;-;PA2023-11.895;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSSZ;PR0033;SERTANÓPOLIS;SERTANÓPOLIS;PR;23° 3' 43'' S;51° 0' 50'' W;361 m;VFR Diurno;-;-; 10/28;1023 m;25 m;5700 kg / 0,5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2705;-;-;-;PA2015-2705;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
SSTB;SC0013;TRÊS BARRAS;TRÊS BARRAS;SC;26° 8' 7'' S;50° 18' 38'' W;789 m;VFR Diurno;-;-; 04/22;1330 m;18 m;5000 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.671;-;-;-;PA2023-12.671;-;-;-;AP-0;Classe I;-;-;-;0;-;-;-;-;-;-;-;;-
